geo_name,geo_id,level,moe,Total_HH_wtd,EnglishOnly_wtd,Spanish_wtd,OtherIndoEuropeanLang_wtd,AsianandPacificIslandLang_wtd,Otherlanguages_wtd,LimitedEnglish_wtd,NOTLimitedEnglish_wtd,HH_$10000to$14999_wtd,HH_$15000to$19999_wtd,HH_$20000to$24999_wtd,HH_$25000to$29999_wtd,HH_$30000to$34999_wtd,HH_$35000to$39999_wtd,HH_$40000to$44999_wtd,HH_$45000to$49999_wtd,HH_$50000to$59999_wtd,HH_$60000to$74999_wtd,HH_$75000to$99999_wtd,HH_$100000to$124999_wtd,HH_$125000to$149999_wtd,HH_$150000to$199999_wtd,HH_$200000ormore_wtd,HH_Lessthan$20000_wtd,HH_$20000to$29999_wtd,HH_$30000to$49999_wtd,HH_$50000to$74999_wtd,HH_$75000ormore_wtd
Blackstone,1,neighborhood,0,2939.36443935247,2533.43324166501,42.7836533028458,291.397055414609,16.6632415157874,55.087247454221,31.6067949122421,374.324402775221,50.9011856465523,73.2028193207798,64.7725088140581,28.465676400573,85.8906198545141,82.8200263071147,99.9357169462885,37.9785436863745,198.575254766766,217.17801039313,424.768997106682,222.450908726989,293.434226345041,260.603822961051,703.337952882923,219.152174160969,93.2381852146312,306.624906794292,415.753265159897,1904.59590802269
Charles,2,neighborhood,0,2732,1750,528,354,40,60,244,738,422,251,109,160,91,124,70,124,131,366,300,75,130,33,9,1010,269,409,497,547
College Hill,3,neighborhood,0,1785.56600036794,1351.66916890689,163.774902128972,128.253302815776,95.6949503458923,46.1736761704071,105.043342587114,328.853488873934,165.000294560714,98.679033856447,105.31260532012,37.9507806948755,89.8851279591896,63.3290144067077,78.1274423689613,14.749145448368,169.65793305911,83.4469191053889,81.986336345659,58.9480321129167,69.6436827979316,140.228762919094,284.453078999617,507.847138829997,143.263386014996,246.090730183227,253.104852164499,635.259893175218
Downtown,4,neighborhood,0,1718.29319704038,1029.45906516507,324.262400380352,79.935568300003,238.1613573827,46.4748058122604,278.16060618667,410.673525688646,144.296960152141,153.582655929635,116.769980685229,48.557235313345,8.66210798442932,37.8544605235789,66.2138412622946,19.1354732118979,70.3163414851573,72.9399744450718,42.9558422726057,54.9698630136986,3.99780821917808,55.9693150684932,118.831243574124,1001.11970998128,165.327215998574,131.865882982201,143.256315930229,276.7240721481
Elmhurst,5,neighborhood,0,3354.11901306241,2818.62264150943,117.359941944848,253.465892597968,50.3454281567489,114.325108853411,74.3033381712627,461.193033381713,97.3526850507983,179.690856313498,151.486211901306,131.014513788099,81.9796806966618,145.345428156749,173.529753265602,170.584905660377,266.023222060958,338.383164005806,507.834542815675,299.193033381713,268.127721335269,272.642960812772,50.1973875181422,497.77648766328,282.500725689405,571.43976777939,604.406386066763,1397.99564586357
Elmwood,6,neighborhood,0,3445.05563093623,932.563998190864,2124.19900497512,183.291723202171,170.000904568069,35,1007.68973315242,1504.80189959294,243.481682496608,414.75802804161,225.450022614202,265.103573043872,234.29262777024,160.46540027137,88.5594753505201,154.86657620986,162.811849841701,446.143826322931,140.11895070104,71.7485300768883,41.9923111714157,23.527815468114,0,1429.97467209408,490.553595658073,638.18407960199,608.955676164631,277.387607417458
Federal Hill,7,neighborhood,0,3173.0226283725,1902.50565709312,799.677980852916,298.874673629243,106.973020017406,64.9912967798085,449.813751087903,820.703220191471,263.934725848564,295.859007832898,132.986074847694,211.932114882507,145.956483899043,243.926892950392,225.946910356832,65,165.992167101828,258.858137510879,255.891209747607,111.986945169713,83.9904264577894,38.993907745866,22,1209.56135770235,344.9181897302,680.830287206266,424.850304612707,512.862489120975
Fox Point,8,neighborhood,0,2529.8451986755,1900.66142384106,156.415562913907,303.978476821192,112.243377483444,56.546357615894,112.061258278146,517.122516556291,219.669701986755,124.030629139073,80.9412251655629,204.841059602649,63.398178807947,97.7557947019868,133.783112582781,49.2781456953642,165.233443708609,179.765728476821,333.769039735099,227.284768211921,83.0960264900662,66.2334437086093,163.298013245033,681.167218543046,285.782284768212,344.215231788079,344.99917218543,873.681291390728
Hartford,9,neighborhood,0,1987.62364888548,659.831575604446,1132.72899217379,111.263531219367,71.2975219473642,12.5020279405137,464.104563328538,863.687509952494,203.273886775464,128.862319732982,151.394438151536,103.43383942753,143.752934547887,84.8052883888846,78.8589454709329,69.6303892896953,164.120690316274,129.307497673428,132.188577040312,97.7437527658348,58.3022680183564,50.1722759262191,31.7799611238097,692.132790744778,254.828277579066,377.0475576974,293.428187989702,370.186834874532
Hope,10,neighborhood,0,1474.63254593176,1188.74278215223,98.5826771653543,150.338582677165,28.753280839895,8.21522309711286,35.3254593175853,250.564304461942,17.251968503937,9.85826771653543,49.2913385826772,14.7874015748031,55.8635170603675,60.7926509186352,82.9737532808399,60.7926509186352,198.808398950131,173.341207349081,266.994750656168,124.871391076115,120.763779527559,147.874015748032,86.259842519685,31.2178477690289,64.0787401574803,260.422572178478,372.149606299213,746.763779527559
Lower South Providence,11,neighborhood,0,1921.59777698041,606.000595306053,1164.08285355471,62.8860274330077,65.1497887886745,23.4785118979662,492.495221241825,823.101960432535,342.510585030907,155.900461566063,136.486201947385,115.359727953289,85.7576044232055,69.7742974573092,74.863316099359,67.6312853717809,173.244099946178,138.726509875557,99.7394108916543,28.7631578947368,7.61278195488722,9,43.0520607375271,871.587322427544,251.845929900674,298.026503351655,311.970609821734,188.167411478805
Manton,12,neighborhood,0,1421.74174174174,665.095095095095,622.012012012012,112.41991991992,22.2147147147147,0,257.152152152152,499.494494494494,59.9124124124124,160.888388388388,68.6636636636637,89.532032032032,77.4149149149149,29.6196196196196,0,65.2977977977978,106.361361361361,74.049049049049,73.3758758758759,102.995495495495,100.975975975976,27.6001001001001,7.4049049049049,598.450950950951,158.195695695696,172.332332332332,180.41041041041,312.352352352352
Mount Hope,13,neighborhood,0,2464.35881078266,1721.1862709521,261.834402576674,305.139031722343,144.651142664243,31.5479628673002,211.624933750419,531.547606080141,293.001792474292,172.521561227421,114.76861102454,104.635909987174,47.0870682646665,115.981899608022,131.901577975071,42.489522960321,199.442441082852,237.8876687649,227.905681942239,141.576455218942,52.8859738734217,116.86422205457,141.816348536532,789.115429489404,219.404521011714,337.460068808081,437.330109847753,681.048681625705
Mount Pleasant,14,neighborhood,0,3263.94705300366,1680.61659772981,1140.54396195906,326.674748042673,10.4368541255334,105.674891146589,440.47944461152,1142.85101066233,213.848015649902,191.702036579395,97.2044787893844,179.229229955645,80.2009999840189,159.697614886294,203.470246734398,222.53271195724,253.085887048151,239.224443601802,399.658450177318,173.343002654323,189.064470856924,197.056238386427,101.063373242619,769.115904729112,276.433708745029,665.901573561951,492.310330649953,1060.18553531761
Olneyville,15,neighborhood,0,2157.04931072527,745.576746343523,1234.0266167336,125.367601856575,21.7801796767527,30.2981661148204,462.209279322582,949.263285059167,217.583094554865,239.708001981344,172.878058658506,94.7772069854869,94.3691738620395,134.328979157879,53.403233144603,83.4401486357206,149.696037708148,140.900443948809,166.565682569064,84.1140931379676,52.9993123585177,8.83086167299939,2.29029029029029,918.455788595239,267.655265643993,365.541534800242,290.596481656958,314.800240028839
Reservoir,16,neighborhood,0,958,449,372,36,79,22,157,352,55,43,15,54,0,57,121,63,136,71,199,57,15,8,9,153,69,241,207,288
Silver Lake,17,neighborhood,0,3869.49660420894,987.751686624572,2390.65049432378,175.933632734254,193.95228136148,121.208509164857,1234.93747132604,1646.80744625833,306.095179707994,258.289389171494,394.38707398791,189.0810629287,194.325812095435,273.276176840182,183.790911027632,129.514046659169,291.72063440328,469.277264210227,377.485661774148,190.623677394953,67.5398249971684,20.7036553556162,11.2640829202343,1076.50671961429,583.46813691661,780.906946622418,760.997898613506,667.61690244212
Smith Hill,18,neighborhood,0,2430.40267501423,1222.25481532517,692.963166881347,303.535242488692,147.25025911392,64.3991912051044,544.218087050295,663.929772638768,235.872632777162,157.864347122787,214.528463589252,72.9505616631219,184.515184375281,105.311754485816,83.7779648323997,86.6588952460833,186.13681814097,126.704939639937,167.786582991343,135.176916394572,60.2404786867567,31.4616541353383,71.219698649013,903.932762184345,287.479025252374,460.26379893958,312.841757780906,465.885330857023
South Elmwood,19,neighborhood,0,559.523945267959,223.551881413911,236.436716077537,49.6066134549601,35.7554161915621,14.1733181299886,67.6453819840365,268.326681870011,34.7890535917902,54.1163055872292,42.5199543899658,21.9042189281642,46.0632839224629,37.3660205245154,22.8705815279361,15.4618015963512,42.5199543899658,24.80330672748,67.3232611174458,30.6014823261117,5.1539338654504,33.1784492588369,4.18757126567845,165.570125427594,64.42417331813,121.761687571266,67.3232611174458,140.444697833523
Upper South Providence,20,neighborhood,0,1539.19614926688,690.988558706963,773.489814558087,47.1356645409619,17.5595387601324,10.0225727007323,302.19458353041,546.013007029504,222.118482214212,212.43359483307,91.6829954495784,73.058927144325,168.576451975927,23.3515159917146,74.8872261999902,98.2233784026226,83.4044900755142,91.29735129581,43.2822810823153,17.2368421052632,7.38721804511278,8,8.05422993492408,750.753241563779,164.741922593903,365.038572570254,174.701841371324,83.9605711676154
Valley,21,neighborhood,0,1591.59732498577,670.745184674834,741.036833118653,57.4647575113082,108.74974088608,13.6008087948956,379.781912949705,541.070227361232,214.127367222838,115.135652877213,117.471536410748,58.0494383368781,97.4848156247192,80.6882455141839,132.2220351676,132.341104753917,135.86318185903,105.295060360064,141.213417008657,28.8230836054279,18.7595213132433,1.53834586466165,18.780301350987,523.067237815655,175.520974747626,442.73620106042,241.158242219094,209.114669142977
Wanskuck,22,neighborhood,0,3986,2271,1128,369,159,59,354,1361,544,197,302,248,231,270,212,151,171,435,292,122,94,65,47,1346,550,864,606,620
Washington Park,23,neighborhood,0,2303.47605473204,832.448118586089,1033.56328392246,255.39338654504,142.244583808438,39.8266818700114,288.354618015964,1182.67331812999,197.21094640821,180.883694412771,139.480045610034,138.095781071836,176.936716077537,78.6339794754846,105.129418472064,107.538198403649,211.480045610034,118.19669327252,254.676738882554,149.398517673888,59.8460661345496,70.8215507411631,8.81242873432155,684.429874572406,277.57582668187,468.238312428734,329.676738882554,543.555302166477
Wayland,24,neighborhood,0,2073.14588160201,1563.85889330463,90.7737334190957,246.936290274943,163.123322219232,8.45364238410596,162.487800195591,346.799188101786,138.24902943049,87.7909764109767,114.974533010849,224.343281328966,129.879323669754,75.340340084931,122.314013284414,50.7218543046358,80.3175969256821,149.416630294239,190.597659967577,118.898581639417,55.178502746802,79.2264175401519,290.897229569635,391.039917234952,339.317814339816,378.255531343734,229.734227219921,734.798391463583
West End,25,neighborhood,0,5336.94436906377,1802.43600180914,2750.80099502488,145.708276797829,530.999095431931,107,1397.31026684758,2137.19810040706,637.518317503392,442.24197195839,276.549977385798,339.896426956128,264.70737222976,212.53459972863,101.44052464948,103.13342379014,464.188150158299,518.856173677069,411.88104929896,128.251469923112,160.007688828584,132.472184531886,26,2197.02532790592,616.446404341927,681.81592039801,983.044323835369,858.612392582542
