geo_name,geo_id,level,moe,Total,NH_White,NH_Black,NH_AIAN,NH_Asian,NH_NHOPI,NH_Other,NH_TwoOrMore,Hispanic,Pct_Tot,Pct_NHWhite,Pct_NHBlack,Pct_NHAIAN,Pct_NHAsian,Pct_NHNHOPI,Pct_NHOther,Pct_TwoorMore,Pct_Hisp,TotPopInHU,OwnPopMort,OwnPopFree,RentPop,PopOwn,Pct_TotPopInHU,Pct_PopOwn,Pct_RentPop,TotOccHU,OwnMortgage,OwnFree,RentHU,HUOwn,Pct_OccHU,Pct_HUOwn,Pct_HURent,TotHH,TotFamHH,TotFamHHMaleHH,TotFamHHFemaleHH,TotNonFamHH,TotNonFamHHMaleHH,TotNonFamHHFemaleHH,TotFamilies,TotFam_w_rel_childU18,TotFam_w_own_childU18,TotHusWifeFam,TotHusWifeFam_w_rel_childU18,TotHusWifeFam_w_own_childU18,FemaleHH_NoHusb,FemHH_NoHusb_w_rel_childU18,FemHH_NoHusb_w_own_childU18,Pct_TotHH,Pct_TotFamHH,Pct_TotFamHHMaleHH,Pct_TotFamHHFemaleHH,Pct_TotNonFamHH,Pct_TotNonFamHHMaleHH,Pct_TotNonFamHHFemaleHH,Pct_TotFamilies,Pct_TotFam_w_rel_childU18,Pct_TotFam_w_own_childU18,Pct_TotHusWifeFam,Pct_TotHusWifeFam_w_rel_childU18,Pct_TotHusWifeFam_w_own_childU18,Pct_FemaleHH_NoHusb,Pct_FemHH_NoHusb_w_rel_childU18,Pct_FemHH_NoHusb_w_own_childU18,Under18,Age18plus,Age18_64,Age65plus,Age0_4,Age5_17,Age18_24,Age25_34,Age35_54,Age55_64
Blackstone,1,neighborhood,0,6607,5826,98,5,327,1,24,155,171,100,88.1792038746784,1.48327531406084,.0756773119418798,4.94929620099894,.015135462388376,.363251097321023,2.34599667019827,2.58816406841229,6512,3564,1247,1701,4811,100,73.8789926289926,26.1210073710074,2917,1359,699,859,2058,100,70.5519369214947,29.4480630785053,2917,1673,1202,471,1244,473,771,1673,764,759,1486,652,648,134,82,81,100,57.3534453205348,41.2067192320878,16.146726088447,42.6465546794652,16.2152896811793,26.4312649982859,100,45.6664674237896,45.3676031081889,88.8224745965332,38.9719067543335,38.732815301853,8.00956365809922,4.90137477585176,4.84160191273162,1360,5247,4058,1189,440,920,335,916,1820,987
Charles,2,neighborhood,0,6760,3024,1088,46,169,3,158,301,1971,100,44.7337278106509,16.094674556213,.680473372781065,2.5,.0443786982248521,2.33727810650888,4.45266272189349,29.1568047337278,6758,2632,486,3640,3118,100,46.1379106244451,53.8620893755549,2750,913,269,1568,1182,100,42.9818181818182,57.0181818181818,2750,1618,823,795,1132,624,508,1618,935,851,863,437,412,553,395,352,100,58.8363636363636,29.9272727272727,28.9090909090909,41.1636363636364,22.6909090909091,18.4727272727273,100,57.78739184178,52.5957972805933,53.3374536464771,27.008652657602,25.4635352286774,34.1779975278121,24.4128553770087,21.7552533992583,1712,5048,4305,743,568,1144,688,1171,1769,677
College Hill,3,neighborhood,0,9328,6350,311,13,1512,5,30,452,655,100,68.0746140651801,3.33404802744425,.139365351629503,16.2092624356775,.0536020583190395,.321612349914237,4.84562607204117,7.02186963979417,4091,1237,430,2424,1667,100,40.7479833781472,59.2520166218528,1964,539,214,1211,753,100,38.3401221995927,61.6598778004073,1964,608,418,190,1356,683,673,608,202,199,546,168,167,50,26,26,100,30.9572301425662,21.2830957230143,9.67413441955194,69.0427698574338,34.775967413442,34.2668024439919,100,33.2236842105263,32.7302631578947,89.8026315789474,27.6315789473684,27.4671052631579,8.22368421052632,4.27631578947368,4.27631578947368,371,8957,8502,455,81,290,6570,765,713,454
Downtown,4,neighborhood,0,4735,2669,396,17,816,3,22,128,684,100,56.3674762407603,8.36325237592397,.359028511087645,17.233368532207,.0633579725448786,.464625131995776,2.70327349524815,14.4456177402323,2653,103,40,2510,143,100,5.39012438748586,94.6098756125141,1872,64,32,1776,96,100,5.12820512820513,94.8717948717949,1872,383,259,124,1489,795,694,383,88,82,273,55,54,66,21,18,100,20.4594017094017,13.8354700854701,6.62393162393162,79.5405982905983,42.4679487179487,37.0726495726496,100,22.976501305483,21.4099216710183,71.2793733681462,14.3603133159269,14.0992167101828,17.2323759791123,5.48302872062663,4.69973890339426,134,4601,4192,409,60,74,2492,641,680,379
Elmhurst,5,neighborhood,0,11099,8069,874,30,251,2,67,205,1601,100,72.700243265159,7.87458329579241,.270294621137039,2.26146499684656,.018019641409136,.603657987206055,1.84701324443644,14.4247229480133,8998,4360,1088,3550,5448,100,60.54678817515,39.45321182485,3734,1661,607,1466,2268,100,60.7391537225495,39.2608462774505,3734,1984,1185,799,1750,784,966,1984,882,801,1302,541,513,528,273,228,100,53.1333690412426,31.7354043920728,21.3979646491698,46.8666309587574,20.9962506695233,25.8703802892341,100,44.4556451612903,40.3729838709677,65.625,27.2681451612903,25.8568548387097,26.6129032258064,13.7600806451613,11.491935483871,1579,9520,8097,1423,472,1107,3496,1295,2361,945
Elmwood,6,neighborhood,0,10755,1085,1775,74,719,4,82,299,6717,100,10.0883310088331,16.5039516503952,.688052068805207,6.68526266852627,.0371920037192004,.762436076243608,2.78010227801023,62.4546722454672,10657,2851,344,7462,3195,100,29.9802946420193,70.0197053579807,3530,813,129,2588,942,100,26.685552407932,73.314447592068,3530,2397,913,1484,1133,570,563,2397,1647,1429,1057,654,578,1110,852,736,100,67.9036827195467,25.8640226628895,42.0396600566572,32.0963172804533,16.1473087818697,15.9490084985836,100,68.7108886107634,59.616186900292,44.0967876512307,27.2841051314143,24.113475177305,46.3078848560701,35.5444305381727,30.7050479766375,3240,7515,6725,790,902,2338,1413,1547,2762,1003
Federal Hill,7,neighborhood,0,7245,3629,765,57,454,4,47,230,2059,100,50.0897170462388,10.5590062111801,.786749482401656,6.2663906142167,.0552104899930987,.64872325741891,3.17460317460317,28.4195997239475,6986,1023,226,5737,1249,100,17.8786143716003,82.1213856283997,3354,429,134,2791,563,100,16.7859272510435,83.2140727489565,3354,1062,502,560,2292,1222,1070,1062,569,513,493,222,207,386,265,238,100,31.6636851520572,14.9672033392964,16.6964818127609,68.3363148479428,36.4341085271318,31.902206320811,100,53.5781544256121,48.3050847457627,46.421845574388,20.9039548022599,19.4915254237288,36.346516007533,24.9529190207156,22.4105461393597,1031,6214,5524,690,367,664,1885,1594,1481,564
Fox Point,8,neighborhood,0,5002,3839,220,23,431,3,58,168,260,100,76.749300279888,4.39824070371851,.459816073570572,8.61655337864854,.0599760095961615,1.15953618552579,3.35865653738505,5.19792083166733,4861,837,346,3678,1183,100,24.3365562641432,75.6634437358568,2575,419,201,1955,620,100,24.0776699029126,75.9223300970874,2575,684,404,280,1891,935,956,684,202,187,514,116,109,137,75,67,100,26.5631067961165,15.6893203883495,10.873786407767,73.4368932038835,36.3106796116505,37.126213592233,100,29.5321637426901,27.3391812865497,75.1461988304094,16.9590643274854,15.9356725146199,20.0292397660819,10.9649122807018,9.7953216374269,322,4680,4015,665,122,200,1424,1373,835,383
Hartford,9,neighborhood,0,6899,1323,763,37,351,0,46,136,4243,100,19.1766922742426,11.0595738512828,.536309610088419,5.08769386867662,0,.666763299028845,1.97130018843311,61.5016669082476,6899,2365,299,4235,2664,100,38.6142919263661,61.3857080736339,2142,677,141,1324,818,100,38.1886087768441,61.8113912231559,2142,1610,722,888,532,305,227,1610,1122,1031,728,452,425,682,544,492,100,75.1633986928105,33.7068160597572,41.4565826330532,24.8366013071895,14.2390289449113,10.5975723622782,100,69.6894409937888,64.0372670807453,45.2173913043478,28.0745341614907,26.3975155279503,42.360248447205,33.7888198757764,30.5590062111801,2350,4549,4099,450,676,1674,826,1024,1765,484
Hope,10,neighborhood,0,3387,2611,255,17,131,0,50,133,190,100,77.0888692057868,7.52878653675819,.501919102450546,3.86772955417774,0,1.47623265426631,3.92677886034839,5.60968408621199,3224,1496,339,1389,1835,100,56.9168734491315,43.0831265508685,1565,631,184,750,815,100,52.0766773162939,47.9233226837061,1565,746,433,313,819,330,489,746,332,318,553,229,222,148,90,84,100,47.667731629393,27.667731629393,20,52.332268370607,21.0862619808307,31.2460063897764,100,44.5040214477212,42.627345844504,74.1286863270778,30.6970509383378,29.7587131367292,19.8391420911528,12.0643431635389,11.2600536193029,518,2869,2392,477,217,301,248,720,978,446
Lower South Providence,11,neighborhood,0,6119,256,1479,71,143,1,66,194,3909,100,4.1836901454486,24.1706161137441,1.16032031377676,2.33698316718418,.0163425396306586,1.07860761562347,3.17045268834777,63.8829874162445,6088,1421,224,4443,1645,100,27.0203679369251,72.9796320630749,1851,408,88,1355,496,100,26.7963263101026,73.2036736898974,1851,1457,433,1024,394,199,195,1457,1037,939,508,337,309,806,622,567,100,78.7142085359265,23.3927606699082,55.3214478660184,21.2857914640735,10.7509454349001,10.5348460291734,100,71.1736444749485,64.4474948524365,34.866163349348,23.1297185998627,21.2079615648593,55.3191489361702,42.6904598490048,38.9155799588195,2214,3905,3563,342,561,1653,840,778,1500,445
Manton,12,neighborhood,0,4391,2091,604,39,123,4,44,137,1349,100,47.6201320883626,13.7554087907083,.888180368936461,2.80118424049192,.0910954224550216,1.00204964700524,3.12001821908449,30.721931222956,3342,1271,209,1862,1480,100,44.2848593656493,55.7151406343507,1345,445,117,783,562,100,41.7843866171004,58.2156133828996,1345,801,377,424,544,243,301,801,452,419,406,203,191,290,191,177,100,59.5539033457249,28.0297397769517,31.5241635687732,40.4460966542751,18.0669144981413,22.3791821561338,100,56.4294631710362,52.3096129837703,50.6866416978777,25.3433208489388,23.8451935081149,36.2047440699126,23.8451935081149,22.0973782771536,863,3528,3149,379,241,622,1366,533,945,305
Mount Hope,13,neighborhood,0,5376,2585,1043,54,298,0,298,361,737,100,48.0840773809524,19.4010416666667,1.00446428571429,5.54315476190476,0,5.54315476190476,6.71502976190476,13.7090773809524,5242,1232,251,3759,1483,100,28.2907287294926,71.7092712705074,2614,512,141,1961,653,100,24.9808722264728,75.0191277735272,2614,1021,439,582,1593,718,875,1021,549,511,529,220,211,401,276,252,100,39.0589135424637,16.7941851568477,22.2647283856159,60.9410864575363,27.4674827850038,33.4736036725325,100,53.7708129285015,50.048971596474,51.8119490695397,21.5475024485798,20.666013712047,39.2752203721841,27.0323212536729,24.6816846229187,963,4413,3581,832,300,663,722,1101,1201,557
Mount Pleasant,14,neighborhood,0,10015,3543,1534,66,237,3,93,340,4199,100,35.3769345981028,15.317024463305,.659011482775836,2.36645032451323,.0299550673989017,.928607089365951,3.39490763854219,41.927109335996,9955,4652,760,4543,5412,100,54.3646408839779,45.6353591160221,3474,1509,406,1559,1915,100,55.1237766263673,44.8762233736327,3474,2383,1279,1104,1091,534,557,2383,1425,1279,1341,732,682,763,539,466,100,68.5952792170409,36.8163500287853,31.7789291882556,31.4047207829591,15.3713298791019,16.0333909038572,100,59.7985732270248,53.6718422156945,56.273604699958,30.7175828787243,28.6193873268989,32.0184641208561,22.6185480486781,19.555182543013,2747,7268,6352,916,804,1943,1167,1606,2700,879
Olneyville,15,neighborhood,0,6933,1139,880,102,278,21,56,254,4203,100,16.4286744555027,12.6929179287466,1.47122457810472,4.00980816385403,.302899177845089,.807731140920236,3.66363767488822,60.6231068801385,6906,1086,168,5652,1254,100,18.1581233709818,81.8418766290182,2345,323,74,1948,397,100,16.9296375266525,83.0703624733475,2345,1518,574,944,827,481,346,1518,1104,994,584,388,361,750,609,545,100,64.7334754797441,24.4776119402985,40.2558635394456,35.2665245202559,20.5117270788913,14.7547974413646,100,72.7272727272727,65.4808959156785,38.471673254282,25.5599472990777,23.7812911725955,49.4071146245059,40.1185770750988,35.9025032938076,2294,4639,4303,336,731,1563,866,1227,1718,492
Reservoir,16,neighborhood,0,2994,848,380,32,409,2,27,72,1224,100,28.3233132932532,12.6920507682031,1.0688042752171,13.6606546426186,.0668002672010688,.901803607214429,2.40480961923848,40.8817635270541,2990,1576,198,1216,1774,100,59.3311036789298,40.6688963210702,1043,495,89,459,584,100,55.9923298178332,44.0076701821668,1043,725,357,368,318,156,162,725,417,360,421,231,205,221,141,116,100,69.5110258868648,34.2281879194631,35.2828379674017,30.4889741131352,14.9568552253116,15.5321188878236,100,57.5172413793103,49.6551724137931,58.0689655172414,31.8620689655172,28.2758620689655,30.4827586206897,19.448275862069,16,740,2254,2025,229,198,542,315,457,901,352
Silver Lake,17,neighborhood,0,12425,2172,1084,81,429,11,39,234,8375,100,17.4808853118712,8.72434607645875,.651911468812877,3.45271629778672,.0885311871227364,.313883299798793,1.88329979879276,67.4044265593561,12407,3910,504,7993,4414,100,35.5766905778996,64.4233094221004,3760,1064,249,2447,1313,100,34.9202127659574,65.0797872340426,3760,2786,1408,1378,974,512,462,2786,1944,1750,1358,903,841,982,776,695,100,74.0957446808511,37.4468085106383,36.6489361702128,25.9042553191489,13.6170212765957,12.2872340425532,100,69.7774587221823,62.8140703517588,48.7437185929648,32.4120603015075,30.1866475233309,35.2476669059584,27.8535534816942,24.9461593682699,3897,8528,7759,769,1193,2704,1570,2213,3138,838
Smith Hill,18,neighborhood,0,6139,1880,995,46,720,4,71,221,2202,100,30.6238801107672,16.2078514416029,.749307704837921,11.7282945105066,.0651571917250366,1.1565401531194,3.59993484280827,35.8690340446327,6050,1067,207,4776,1274,100,21.0578512396694,78.9421487603306,2557,396,114,2047,510,100,19.945248337896,80.054751662104,2557,1258,560,698,1299,718,581,1258,783,717,557,294,277,524,394,351,100,49.1982792334767,21.9006648416113,27.2976143918655,50.8017207665233,28.0797809933516,22.7219397731717,100,62.241653418124,56.9952305246423,44.2766295707472,23.3704292527822,22.0190779014308,41.6534181240064,31.3195548489666,27.9014308426073,1511,4628,4160,468,492,1019,829,1277,1567,487
South Elmwood,19,neighborhood,0,1604,494,195,16,175,0,4,80,640,100,30.7980049875312,12.1571072319202,.997506234413965,10.9102244389027,0,.249376558603491,4.98753117206983,39.9002493765586,1604,790,163,651,953,100,59.4139650872818,40.5860349127182,565,249,70,246,319,100,56.4601769911504,43.5398230088496,565,374,211,163,191,105,86,374,229,204,215,121,109,110,81,70,100,66.1946902654867,37.3451327433628,28.8495575221239,33.8053097345133,18.5840707964602,15.2212389380531,100,61.2299465240642,54.5454545454545,57.4866310160428,32.3529411764706,29.144385026738,29.4117647058824,21.6577540106952,18.716577540107,450,1154,1018,136,120,330,174,235,434,175
Upper South Providence,20,neighborhood,0,4849,558,1633,68,146,2,59,212,2171,100,11.5075273252217,33.677046813776,1.40235100020623,3.01093008867808,.0412456176531244,1.21674572076717,4.37203547123118,44.7721179624665,4389,797,120,3472,917,100,20.8931419457735,79.1068580542265,1573,229,61,1283,290,100,18.4361093452003,81.5638906547997,1573,990,294,696,583,240,343,990,673,585,334,206,193,573,421,358,100,62.9370629370629,18.6904005085823,44.2466624284806,37.0629370629371,15.2574698029243,21.8054672600127,100,67.979797979798,59.0909090909091,33.7373737373737,20.8080808080808,19.4949494949495,57.8787878787879,42.5252525252525,36.1616161616162,1449,3400,2886,514,393,1056,622,631,1261,372
Valley,21,neighborhood,0,4689,863,754,28,157,3,31,177,2676,100,18.4047771379825,16.0801876732779,.597142247814033,3.34826188952868,.0639795265515035,.661121774365536,3.77479206653871,57.0697376839411,4689,1268,131,3290,1399,100,29.8357858818511,70.1642141181489,1505,391,62,1052,453,100,30.0996677740864,69.9003322259136,1505,1019,465,554,486,272,214,1019,749,672,475,327,300,408,335,301,100,67.7076411960133,30.8970099667774,36.8106312292359,32.2923588039867,18.0730897009967,14.21926910299,100,73.5034347399411,65.9470068694799,46.6143277723258,32.090284592738,29.4406280667321,40.0392541707556,32.8753680078508,29.5387634936212,1487,3202,3018,184,462,1025,678,911,1142,287
Wanskuck,22,neighborhood,0,11869,4096,2385,142,331,4,164,427,4320,100,34.510068245008,20.0943634678574,1.1963939674783,2.78877748757267,.0337012385205156,1.38175077934114,3.59760721206504,36.3973376021569,10633,3069,500,7064,3569,100,33.5653155271325,66.4346844728675,3958,998,273,2687,1271,100,32.1121778676099,67.8878221323901,3958,2509,934,1575,1449,685,764,2509,1701,1564,982,541,515,1252,987,895,100,63.3906013137948,23.5977766548762,39.7928246589186,36.6093986862052,17.3067205659424,19.3026781202628,100,67.7959346353129,62.3355918692706,39.1390992427262,21.5623754483858,20.526106018334,49.9003587086489,39.3383818254285,35.6715823037067,3333,8536,7539,997,899,2434,2438,1714,2602,785
Washington Park,23,neighborhood,0,8763,2619,1543,67,407,4,98,276,3749,100,29.8870249914413,17.6081250713226,.764578340750884,4.64452812963597,.0456464681045304,1.11833846856099,3.1496062992126,42.7821522309711,7561,3365,482,3714,3847,100,50.8795132918926,49.1204867081074,2408,942,194,1272,1136,100,47.1760797342193,52.8239202657807,2408,1709,808,901,699,378,321,1709,1044,865,874,485,411,651,454,370,100,70.9717607973422,33.5548172757475,37.4169435215947,29.0282392026578,15.6976744186047,13.3305647840532,100,61.0883557636045,50.6143943826799,51.1410181392627,28.3791691047396,24.0491515506144,38.0924517261556,26.5652428320655,21.6500877706261,2069,6694,6050,644,555,1514,2303,1066,1916,765
Wayland,24,neighborhood,0,3804,3069,76,1,408,2,14,78,156,100,80.6782334384858,1.99789695057834,.0262881177707676,10.7255520504732,.0525762355415352,.368033648790747,2.05047318611987,4.10094637223975,3618,1112,368,2138,1480,100,40.9065782200111,59.0934217799889,2069,480,189,1400,669,100,32.3344610923151,67.6655389076849,2069,613,405,208,1456,685,771,613,245,245,518,194,194,71,41,41,100,29.6278395360077,19.5746737554374,10.0531657805703,70.3721604639923,33.1077815369744,37.2643789270179,100,39.9673735725938,39.9673735725938,84.5024469820555,31.6476345840131,31.6476345840131,11.5823817292007,6.6884176182708,6.6884176182708,399,3405,2981,424,152,247,623,1111,869,378
West End,25,neighborhood,0,16255,2272,2269,88,1731,2,79,440,9374,100,13.9772377729929,13.9587819132575,.54137188557367,10.6490310673639,.0123039064903107,.486004306367272,2.70685942786835,57.6684097200861,15843,3554,509,11780,4063,100,25.6453954427823,74.3546045572177,5248,1015,193,4040,1208,100,23.0182926829268,76.9817073170732,5248,3333,1403,1930,1915,1017,898,3333,2205,1925,1354,799,722,1470,1109,966,100,63.5099085365854,26.733993902439,36.7759146341463,36.4900914634146,19.3788109756098,17.1112804878049,100,66.1566156615662,57.7557755775578,40.6240624062406,23.972397239724,21.6621662166217,44.1044104410441,33.2733273327333,28.982898289829,4601,11654,10611,1043,1346,3255,2301,2873,4149,1288
